|WRYV        |88.7  MHz |FM |204 |DA  |-                   |B1 |-  |LIC    |MILROY                   |PA |US |BLED-20110614AAB    |2.2    kW |2.2    kW |265.0   |265.0   |172732     |N |40 |35 |10.2  |W |77  |41 |38.9  |INVISIBLE ALLIES MINISTRIES                                                 |   0.00 km |   0.00 mi |  0.00 deg |594.   m|594.0  m|93376     |0.      |-       |21.    m|1421602   |fc733486e0c549cba04cc1b6063ebeb7        |
|W204CT      |88.7  MHz |FX |204 |ND  |-                   |D  |-  |LIC    |PITTSBURGH               |PA |US |0000211073          |.13    kW |0.13   kW |0.0     |0.0     |148415     |N |40 |28 |19.2  |W |79  |59 |39.6  |EDUCATIONAL MEDIA FOUNDATION                                                |   0.00 km |   0.00 mi |  0.00 deg |510.2  m|510.2  m|1006536   |-       |1028562 |149.   m|211073    |25076ff3865227910186716ca2fc0803        |
|WSYC-FM     |88.7  MHz |FM |204 |ND  |-                   |A  |-  |LIC    |SHIPPENSBURG             |PA |US |BMLED-20080812ACT   |0.13   kW |0.13   kW |-47.0   |-47.0   |60203      |N |40 |4  |30.3  |W |77  |31 |13.9  |SHIPPENSBURG UNIVERSITY OF PENNSYLVANIA                                     |   0.00 km |   0.00 mi |  0.00 deg |212.   m|212.0  m|-         |-       |-       |14.    m|1271559   |b073c8210bbe49cd917ac1b6063ebeb7        |
|WSYC-FM     |88.7  MHz |FM |204 |ND  |-                   |A  |-  |STA    |SHIPPENSBURG             |PA |US |0000211739          |0.13   kW |0.13   kW |-47.0   |-47.0   |60203      |N |40 |4  |30.3  |W |77  |31 |13.9  |SHIPPENSBURG UNIVERSITY OF PENNSYLVANIA                                     |   0.00 km |   0.00 mi |  0.00 deg |212.   m|212.0  m|1010507   |-       |-       |14.    m|211739    |25076ff38652279101869ee2b93215f8        |
|WRYV-FM1    |88.7  MHz |FB |204 |ND  |-                   |D  |-  |LIC    |STATE COLLEGE            |PA |US |BLFTB-20111018ARR   |0.023  kW |0.023  kW |0.0     |0.0     |189706     |N |40 |43 |1.2   |W |77  |53 |32.0  |INVISIBLE ALLIES MINISTRIES                                                 |   0.00 km |   0.00 mi |  0.00 deg |683.   m|683.0  m|106010    |-       |-       |27.    m|1448344   |06bd633c21b0445c8996c1b6063ebeb7        |
|WBYX        |88.7  MHz |FM |204 |DA  |-                   |B1 |-  |LIC    |STROUDSBURG              |PA |US |BLED-20120928AXY    |0.001  kW |4.     kW |242.0   |242.0   |22181      |N |41 |2  |40.3  |W |75  |22 |43.6  |FOUR RIVERS COMMUNITY BROADCASTING CORP.                                    |   0.00 km |   0.00 mi |  0.00 deg |652.   m|652.0  m|110228    |0.      |-       |27.    m|1518755   |9ad3f99810514092ab21c1b6063ebeb7        |
|W205AG      |88.9  MHz |FX |205 |DA  |-                   |D  |-  |LIC    |CLARKS SUMMIT, ETC.      |PA |US |BLFT-19900102TA     |0.007  kW |-.     kW |307.0   |0.0     |24680      |N |41 |26 |9.2   |W |75  |43 |43.6  |GOOD NEWS FOR LIFE                                                          |   0.00 km |   0.00 mi |  0.00 deg |650.   m|0.0    m|-         |0.      |-       |0.     m|143410    |7c2f370145614497b3acc1b6063ebeb7        |
|WFSE        |88.9  MHz |FM |205 |ND  |-                   |A  |-  |LIC    |EDINBORO                 |PA |US |BMLED-20100601AHV   |3.     kW |3.     kW |91.0    |91.0    |18665      |N |41 |52 |38.2  |W |80  |10 |38.2  |EDINBORO UNIVERSITY OF PENNSYLVANIA                                         |   0.00 km |   0.00 mi |  0.00 deg |473.   m|473.0  m|-         |-       |-       |16.    m|1372287   |79790c37773e43889c34c1b6063ebeb7        |
|W205CL      |88.9  MHz |FX |205 |DA  |-                   |D  |-  |LIC    |MESHOPPEN                |PA |US |BLFT-20101021ABD    |0.01   kW |0.01   kW |324.8   |0.0     |24687      |N |41 |31 |28.2  |W |76  |4  |17.7  |GOOD NEWS FOR LIFE                                                          |   0.00 km |   0.00 mi |  0.00 deg |718.   m|718.0  m|100748    |30.     |-       |29.    m|1404057   |46136aa8ecdc48afbdd3c1b6063ebeb7        |
|WWNW        |88.9  MHz |FM |205 |DA  |-                   |A  |-  |LIC    |NEW WILMINGTON           |PA |US |BLED-20080915AEH    |0.25   kW |4.     kW |33.0    |39.0    |72031      |N |41 |6  |41.2  |W |80  |20 |20.2  |WESTMINSTER COLLEGE BOARD OF TRUSTEES                                       |   0.00 km |   0.00 mi |  0.00 deg |376.0  m|382.   m|80605     |0.      |-       |27.    m|1266058   |39cea3b2e6da4d4ea936c1b6063ebeb7        |
