County	Municipality	Updated	2020	2010	Percent Change	Environmental Action Communitee	Human Rights Comittee	Municipal Class	Square Miles	Website
Chester	East MarlBorough Township	2/12/2023	7306	7026	3.98519784	Unknown	Unknown			
Chester	East Nantmeal Township	2/12/2023	1832	1803	1.60843039	Unknown	Unknown			
Chester	East Nottingham Township	2/12/2023	8982	8650	3.83815029	Unknown	Unknown			
Chester	East Pikeland Township	2/12/2023	8260	7079	16.6831473	Unknown	Unknown			
Chester	Easttown Township	2/12/2023	10984	10477	4.83917152	Unknown	Unknown			
Chester	East Vincent Township	2/12/2023	7433	6821	8.97229145	Unknown	Unknown			
Chester	East Whiteland Township	2/12/2023	13917	10650	30.6760563	Unknown	Unknown			
Chester	Elk Township	2/12/2023	1698	1681	1.0113028	Unknown	Unknown			
Chester	Elverson Borough	2/12/2023	1330	1225	8.57142857	Unknown	Unknown			
Chester	Franklin Township	2/12/2023	4433	4352	1.86121324	Unknown	Unknown			
Chester	Highland Township	2/12/2023	1259	1272	-1.0220126	Unknown	Unknown			
Chester	Honey Brook Borough	2/12/2023	1892	1713	10.4495038	Unknown	Unknown			
Chester	Honey Brook Township	2/12/2023	8274	7647	8.19929384	Unknown	Unknown			
Chester	Kennett Township	2/12/2023	8289	7565	9.57038995	Unknown	Unknown			
Chester	Kennett Square Borough	2/12/2023	5936	6072	-2.2397892	Unknown	Unknown			
Chester	London Britain Township	2/12/2023	3179	3139	1.27429118	Unknown	Unknown			
Chester	Londonderry Township	2/12/2023	2476	2149	15.2163797	Unknown	Unknown			
Chester	London Grove Township	2/12/2023	8797	7475	17.6856187	Unknown	Unknown			
Chester	Lower Oxford Township	2/12/2023	5420	5200	4.23076923	Unknown	Unknown			
Chester	Malvern Borough	2/12/2023	3419	2998	14.0426951	Unknown	Unknown			
Chester	Modena Borough	2/12/2023	541	535	1.12149533	Unknown	Unknown			
Chester	New Garden Township	2/12/2023	11363	11984	-5.1819092	Unknown	Unknown			
Chester	Newlin Township	2/12/2023	1358	1285	5.68093385	Unknown	Unknown			
Chester	New London Township	2/12/2023	5810	5631	3.17883147	Unknown	Unknown			
Chester	North Coventry Township	2/12/2023	8441	7866	7.30994152	Unknown	Unknown			
Chester	Oxford Borough	2/12/2023	5736	5077	12.9801064	Unknown	Unknown			
Chester	Parkesburg Borough	2/12/2023	3862	3593	7.48677985	Unknown	Unknown			
Chester	Penn Township	2/12/2023	5644	5364	5.21998509	Unknown	Unknown			
Chester	Pennsbury Township	2/12/2023	3876	3604	7.54716981	Unknown	Unknown			
Chester	Phoenixville Borough	2/12/2023	18602	16440	13.1508516	Unknown	Unknown			
Chester	Pocopson Township	2/12/2023	4455	4582	-2.7717154	Unknown	Unknown			
Chester	Sadsbury Township	2/12/2023	4125	3570	15.5462185	Unknown	Unknown			
Chester	Schuylkill Township	2/12/2023	8780	8516	3.10004697	Unknown	Unknown			
Chester	South Coatesville Borough	2/12/2023	1601	1303	22.8702993	Unknown	Unknown			
Chester	South Coventry Township	2/12/2023	2796	2604	7.37327189	Unknown	Unknown			
Chester	Spring City Borough	2/12/2023	3494	3323	5.14595245	Unknown	Unknown			
Chester	Thornbury Township	2/12/2023	3177	3017	5.30328141	Unknown	Unknown			
Chester	Tredyffrin Township	2/12/2023	31927	29332	8.84699305	Unknown	Unknown			
Chester	Upper Oxford Township	2/12/2023	2560	2484	3.05958132	Unknown	Unknown			
Chester	Upper Uwchlan Township	2/12/2023	12275	11227	9.33463971	Unknown	Unknown			
Chester	Uwchlan Township	2/12/2023	19161	18088	5.93210969	Unknown	Unknown			
Chester	Valley Township	2/12/2023	7985	6794	17.5301737	Unknown	Unknown			
Chester	Wallace Township	2/12/2023	3711	3458	7.31636784	Unknown	Unknown			
Chester	Warwick Township	2/12/2023	2590	2507	3.31072996	Unknown	Unknown			
Chester	West Bradford Township	2/12/2023	14316	12223	17.1234558	Unknown	Unknown			
Chester	West Brandywine Township	2/12/2023	7331	7394	-0.8520422	Unknown	Unknown			
Chester	West Caln Township	2/12/2023	8910	9014	-1.1537608	Unknown	Unknown			
Chester	West Chester Borough	2/12/2023	18671	18461	1.13753318	Unknown	Unknown			
Chester	West Fallowfield Township	2/12/2023	2459	2566	-4.1699143	Unknown	Unknown			
Chester	West Goshen Township	2/12/2023	23040	21866	5.36906613	Unknown	Unknown			
Chester	West Grove Borough	2/12/2023	2770	2854	-2.9432376	Unknown	Unknown			
Chester	West MarlBorough Township	2/12/2023	819	814	0.61425061	Unknown	Unknown			
Chester	West Nantmeal Township	2/12/2023	2251	2170	3.73271889	Unknown	Unknown			
Chester	West Nottingham Township	2/12/2023	2764	2722	1.5429831	Unknown	Unknown			
Chester	West Pikeland Township	2/12/2023	4024	4024	0	Unknown	Unknown			
Chester	West Sadsbury Township	2/12/2023	2436	2444	-0.3273322	Unknown	Unknown			
Chester	Westtown Township	2/12/2023	11154	10827	3.02022721	Unknown	Unknown			
Chester	West Vincent Township	2/12/2023	6668	4567	46.0039413	Unknown	Unknown			
Chester	West Whiteland Township	2/12/2023	19632	18274	7.43132319	Unknown	Unknown			
Chester	Willistown Township	2/12/2023	11273	10497	7.39258836	Unknown	Unknown			
